"word","count","relevance"
"room","5","0.980"
"mind","4","0.784"
"ideas","4","0.784"
"hope","4","0.784"
"everyone","4","0.588"
"fume","3","0.588"
"life of la","1","0.588"
"everyone hypnotizing","1","0.392"
"la familia","1","0.392"
"much gang","1","0.392"
"vip","2","0.392"
"dawg","2","0.392"
"vibe","2","0.392"
"case","2","0.392"
"runnin","2","0.392"
"little bit","1","0.392"
"broad day","1","0.392"
"fastest car","1","0.392"
"nah","4","0.392"
"heart","1","0.196"
"show","1","0.196"
"gang","2","0.196"
"comin","1","0.196"
"giant","1","0.196"
"eye","1","0.196"
"top","1","0.196"
"legs","1","0.196"
"boot","1","0.196"
"pourin","1","0.196"
"drank","1","0.196"
"gorgeous","1","0.196"
"got","4","0.196"
"pistol","1","0.196"
"queseria","1","0.196"
"beard","1","0.196"
"life","2","0.196"
"vibiest","1","0.196"
"midas","1","0.196"
"molly","1","0.196"
"hear","2","0.196"
"baby","1","0.196"
"kids","1","0.196"
"steel","1","0.196"
"thrill","1","0.196"
"side","1","0.196"
"rules","1","0.196"
"round","2","0.196"
"things","1","0.196"
"smoke","1","0.196"
"night","1","0.196"
