"word","count","relevance"
"benz truck","4","0.988"
"vroom","5","0.590"
"type of bitch","1","0.370"
"type of nigga","1","0.370"
"dolla dollars bill","1","0.370"
"cash","6","0.349"
"rack","4","0.334"
"bitch gimmick","1","0.247"
"plain jane","1","0.247"
"red gut","1","0.247"
"sneak bitch","1","0.247"
"mini me","1","0.247"
"bitty waist","1","0.247"
"og reefer","1","0.247"
"real ass","1","0.247"
"pretty face","1","0.247"
"nicki style","1","0.247"
"dem wan","1","0.247"
"roll royce","1","0.247"
"old song","1","0.247"
"best fighters","1","0.247"
"cookie monsta","1","0.247"
"corny nigga","1","0.247"
"dash","3","0.228"
"hater","2","0.224"
"throwin","6","0.222"
"ass","7","0.222"
"nina","3","0.217"
"nigga","4","0.216"
"glock","2","0.209"
"mimic","2","0.168"
"lamp","2","0.156"
"wanna","3","0.151"
"stamps","2","0.142"
"clinic","2","0.139"
"pocket","3","0.135"
