"word","count","relevance"
"pretty face men","1","0.968"
"domestic violence men","1","0.968"
"guy","6","0.849"
"girls","8","0.803"
"little trim","1","0.645"
"sirat al","1","0.645"
"hard rock","1","0.645"
"second verse","1","0.645"
"good wave","1","0.645"
"baby girls","1","0.645"
"money taking","1","0.645"
"hair weave","1","0.645"
"court case","1","0.645"
"case men","1","0.645"
"fake nail","1","0.645"
"big men","1","0.645"
"children support","1","0.645"
"silent men","1","0.645"
"men","11","0.509"
"women","4","0.428"
"yo","3","0.381"
