"word","count","relevance"
"rights feet slide","5","0.993"
"feet slide","10","0.662"
"rights feet","10","0.662"
"black leather gloves","3","0.596"
"michael jackson","4","0.530"
"street shit","3","0.397"
"nike crossbody","3","0.397"
"alyx shit","3","0.397"
"buckle","3","0.155"
"slide","20","0.151"
"feet","20","0.134"
"many people","1","0.132"
"double time","1","0.132"
"solo nigga","1","0.132"
"couple time","1","0.132"
"troubled spot","1","0.132"
"rights time","1","0.132"
"next time","1","0.132"
"shorties wanna","1","0.132"
"toosie slide","1","0.132"
"many opps","1","0.132"
"thug passion","2","0.132"
"jacket","3","0.121"
"got","10","0.111"
"way","5","0.099"
"baby","3","0.084"
"show","5","0.084"
"satisfaction","2","0.083"
"piece","3","0.079"
"dance","11","0.074"
"thriller","2","0.073"
"trap","2","0.072"
