"word","count","relevance"
"na","82","0.997"
"little funk","6","0.322"
"star tonight","5","0.268"
"dies","10","0.219"
"bass boom","2","0.107"
"disco overload","2","0.107"
"woo hoo","2","0.107"
"break of dawn","1","0.080"
"games of ping","1","0.080"
"cup of milk","1","0.080"
"soul","6","0.070"
"light","9","0.064"
"ice tea","1","0.054"
"rolling stone","1","0.054"
"ping pong","1","0.054"
"king kong","1","0.054"
"ding dong","1","0.054"
"life","6","0.048"
"city","6","0.048"
"fire","5","0.042"
"ching","2","0.036"
"cha","2","0.035"
"honey","2","0.030"
