"word","count","relevance"
"rights track","13","0.994"
"rights track baby","5","0.932"
"way","42","0.764"
"baby","24","0.499"
"drag","4","0.145"
"believe capital","1","0.124"
"subway kids","1","0.124"
"born superstar","1","0.124"
"amore vole","1","0.124"
"chola descent","1","0.124"
"different lovers","1","0.124"
"transgendered life","1","0.124"
"regret","3","0.120"
"mistake","3","0.103"
"queen","4","0.087"
"orient","2","0.077"
"god","3","0.071"
