"word","count","relevance"
"feelin","19","0.994"
"dance","45","0.753"
"nobody leavin","3","0.389"
"good soul","2","0.260"
"hot blood","2","0.260"
"dancin","4","0.216"
"got","10","0.153"
"good creepin","1","0.130"
"body","8","0.098"
"things","3","0.083"
"sunshine","2","0.074"
"pocket","2","0.071"
"lock","2","0.070"
