"word","count","relevance"
"love","9","0.989"
"pot of gold","1","0.330"
"liftin","3","0.330"
"liften","6","0.220"
"ohhh","3","0.220"
"shooting star","1","0.220"
"dream","2","0.220"
"heart","1","0.110"
"existance","1","0.110"
"obstacles","1","0.110"
"dreamt","1","0.110"
"ohh","1","0.110"
"rainbow","1","0.110"
"end","1","0.110"
"sky","1","0.110"
"everything","1","0.110"
"way","1","0.110"
"hope","1","0.110"
"life","1","0.110"
"star","2","0.110"
"eye","1","0.110"
"moment","1","0.110"
"children","1","0.110"
"world","1","0.110"
"distance","1","0.110"
"heaven","1","0.110"
"magic","1","0.110"
"anything","1","0.110"
"light","1","0.110"
"soul","1","0.110"
"time","1","0.110"
