"word","count","relevance"
"nothing","6","0.984"
"door","4","0.656"
"baby","4","0.656"
"mouth","3","0.492"
"key","3","0.492"
"youso","3","0.492"
"time","3","0.492"
"hand","2","0.328"
"plan","2","0.328"
"stuck","27","0.328"
"bed singin'got","1","0.328"
"fun","1","0.164"
"kinda","1","0.164"
"get","1","0.164"
"nobody","1","0.164"
"mind","1","0.164"
"street","1","0.164"
"lifetime","1","0.164"
"youbaby","1","0.164"
"hatin","1","0.164"
"tonighti","1","0.164"
"world","1","0.164"
"sun","1","0.164"
"wantin","1","0.164"
"way","1","0.164"
"strike","1","0.164"
