"word","count","relevance"
"bad things","8","0.994"
"god","4","0.248"
"ayy","10","0.248"
"lot","4","0.248"
"plan","4","0.248"
"north side eat","2","0.186"
"scarlett road","1","0.124"
"north side","2","0.124"
"shit","2","0.124"
"way","2","0.124"
"southside","2","0.124"
"weston road","1","0.124"
"oli","1","0.062"
"brother","1","0.062"
"momma","1","0.062"
"broskis","1","0.062"
"yuh","5","0.062"
"movin","1","0.062"
"magine","1","0.062"
"dub","1","0.062"
"party","1","0.062"
"hope","1","0.062"
"tryna","1","0.062"
"someone","1","0.062"
"crasher","1","0.062"
"story","1","0.062"
"o-3","1","0.062"
"o-2","1","0.062"
"struggle","1","0.062"
"trouble","1","0.062"
"dog","1","0.062"
"bed","1","0.062"
"things","9","0.062"
"road","3","0.062"
