"word","count","relevance"
"mm","6","0.984"
"nigga","5","0.820"
"cleveland boy","2","0.656"
"house","2","0.328"
"scott","2","0.328"
"many things","1","0.328"
"many dream","1","0.328"
"phony bitch","1","0.328"
"math","2","0.328"
"lettin","2","0.328"
"heat","2","0.328"
"scout","2","0.328"
"body adobe","1","0.328"
"time","2","0.328"
"tat","1","0.164"
"control","1","0.164"
"shot","1","0.164"
"gold","1","0.164"
"makin","1","0.164"
"street","1","0.164"
"gang","1","0.164"
"hood","1","0.164"
"mic","1","0.164"
"porsche","1","0.164"
"couch","1","0.164"
"vein","1","0.164"
"lot","1","0.164"
"got","4","0.164"
"bourbon","1","0.164"
"hustle","1","0.164"
"good","1","0.164"
"way","1","0.164"
"cop","1","0.164"
"team","1","0.164"
"wave","1","0.164"
"mimosa","1","0.164"
"photoshoppin","1","0.164"
"mouth","1","0.164"
"drought","1","0.164"
"minutes","1","0.164"
"bread","1","0.164"
"controllin","1","0.164"
"dealin","1","0.164"
"route","1","0.164"
"flow","1","0.164"
"air","1","0.164"
"panini","1","0.164"
"hype","1","0.164"
"sa","1","0.164"
"vision","1","0.164"
