"word","count","relevance"
"jump","15","0.986"
"short life","3","0.860"
"nigga","4","0.501"
"last phone bill","1","0.430"
"high school pics","1","0.430"
"lil weezyana shit","1","0.430"
"gotta","25","0.290"
"last month","1","0.287"
"dark day","1","0.287"
"baby benz","1","0.287"
"bad friend","1","0.287"
"last year","1","0.287"
"car note","1","0.287"
"doin' overtime","1","0.287"
"hunnid band","1","0.287"
"slow song","1","0.287"
"hard time","1","0.287"
"got","3","0.241"
"hoe","2","0.228"
"phone","4","0.205"
"reflection","2","0.165"
"care","15","0.158"
"cry","13","0.155"
"girls","3","0.153"
