"word","count","relevance"
"war zone","14","0.996"
"paradise","14","0.498"
"bed","9","0.320"
"day","9","0.320"
"place","9","0.320"
"body","6","0.214"
"reckless behaviour","3","0.214"
"tonight","3","0.107"
"fear","3","0.107"
"neighbours","3","0.107"
"tears","3","0.107"
"pain","2","0.071"
"nobody","2","0.071"
"high tempo","1","0.071"
"pillow talk","1","0.071"
"thin line","1","0.071"
"pleasure","2","0.071"
"enemy","1","0.036"
"prisoners","1","0.036"
"light","1","0.036"
"board","1","0.036"
"allies","1","0.036"
