"word","count","relevance"
"dum dum","6","0.992"
"dum","15","0.744"
"youn","12","0.496"
"har","9","0.496"
"young youn","3","0.496"
"part","9","0.496"
"youn youn","3","0.496"
"superstar","6","0.496"
"part pa","3","0.496"
"tonight","3","0.248"
"num","15","0.248"
"body","3","0.248"
"numb","3","0.248"
"world","3","0.248"
"got jesus","1","0.165"
"eye","2","0.165"
"hot pants","1","0.165"
"pa","6","0.165"
"damn time","1","0.165"
"stockings","2","0.165"
"ace","2","0.165"
"side","2","0.165"
"love","1","0.083"
"brain","1","0.083"
"glitter","2","0.083"
"shit","1","0.083"
"sellin","1","0.083"
"dude","1","0.083"
"club","1","0.083"
"hipster","1","0.083"
"got","4","0.083"
"dj","4","0.083"
"truth","1","0.083"
"mess","1","0.083"
"dressin","1","0.083"
"town","1","0.083"
"car","1","0.083"
"sleepin","1","0.083"
"d.j.","1","0.083"
"hittin","1","0.083"
"necklace","1","0.083"
"clothes","1","0.083"
