"word","count","relevance"
"early mornin","4","0.988"
"wanna ride","4","0.988"
"outta time","4","0.988"
"rain drop","2","0.494"
"imitator","4","0.456"
"intimidate","4","0.382"
"modern day bonnie","1","0.370"
"girls","8","0.351"
"plug","4","0.312"
"bitch","3","0.257"
"prr prr","1","0.247"
"mula gang","1","0.247"
"gucci belt","1","0.247"
"whitney bobby","1","0.247"
"fame bus","1","0.247"
"bed frame","1","0.247"
"new chanel","1","0.247"
"best music","1","0.247"
"dj khaled","1","0.247"
"dawn","4","0.244"
"hopscotch","2","0.238"
"truth","4","0.219"
"lookin","6","0.203"
"money","4","0.164"
"mama","2","0.148"
"clyde","2","0.143"
"god","3","0.140"
