"word","count","relevance"
"old cardigan","3","0.984"
"nothing","4","0.656"
"front porch light","1","0.492"
"smell of smoke","1","0.492"
"someone","3","0.492"
"bed","3","0.492"
"high line","1","0.328"
"sensual politics","1","0.328"
"tattoo kiss","1","0.328"
"high heel","1","0.328"
"last train","1","0.328"
"downtown bar","1","0.328"
"vintage tee","1","0.328"
"friend","2","0.328"
"black lipstick","1","0.328"
"grocery line","1","0.328"
"longest time","1","0.328"
"sequin smile","1","0.328"
"new phone","1","0.328"
"givin","1","0.164"
"drunk","1","0.164"
"ending","1","0.164"
"baby","1","0.164"
"steppin","1","0.164"
"playin","1","0.164"
"sweatshirt","1","0.164"
"scar","1","0.164"
"girls","1","0.164"
"chase","1","0.164"
"peter","1","0.164"
"dancin","1","0.164"
"father","1","0.164"
"everything","1","0.164"
"wendy","1","0.164"
"streetlight","1","0.164"
"leavin","1","0.164"
"star","1","0.164"
"brand","1","0.164"
"none","1","0.164"
"hand","1","0.164"
"cobblestone","1","0.164"
"levi","1","0.164"
"shadow","1","0.164"
"weekend","1","0.164"
"bloodstain","1","0.164"
"runnin","1","0.164"
"water","1","0.164"
"thrill","1","0.164"
"ifs","1","0.164"
"lifetime","1","0.164"
